0.00	0.00
0.02	351.39
0.07	302.16
0.12	265.74
0.17	291.34
0.22	284.73
0.27	257.52
0.32	247.59
0.37	277.82
0.42	261.12
0.47	233.67
0.52	210.49
0.57	251.94
0.62	193.67
0.67	198.88
0.72	229.59
0.77	229.04
0.82	181.27
0.87	170.22
0.92	221.09
0.97	245.91
1.02	187.50
1.07	209.10
1.12	202.15
1.17	189.88
1.22	197.49
1.27	198.64
1.32	197.30
1.37	192.15
1.42	189.50
1.47	191.76
1.52	198.86
1.57	183.27
1.62	179.47
1.67	205.81
1.71	198.87
1.76	195.67
1.81	185.91
1.86	196.06
1.91	183.96
1.96	177.35
2.01	174.93
2.06	176.99
2.11	190.63
2.16	175.11
2.21	172.39
2.26	166.62
2.31	151.20
2.36	119.76
2.46	74.93
2.51	69.40
2.56	65.32
2.61	60.81
2.66	56.53
2.71	51.65
2.76	56.34
2.81	44.01
2.86	40.85
2.91	36.84
2.96	33.95
3.01	30.93
3.06	28.07
3.11	26.47
3.16	24.26
3.21	23.64
3.26	23.60
