2018-11-25 18:38:06.312066
time[sec],mass[kg],len_CG[m],Iyz[kg*m^2],Ix[kg*m^2],pos_x[m],pos_y[m],pos_z[m],vel_x[m/s],vel_y[m/s],vel_z[m/s],roll,pitch,yaw,quat_x,quat_y,quat_z,quat_w
0.0,7.850843,0.978127,1.4256,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5825634160695854,-0.2716537822741844,-0.694272044014884,0.32374437096706454
0.001,7.850731698466258,0.9781226665644173,1.4255883742331288,0.01999693251533742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5825634160695854,-0.2716537822741844,-0.694272044014884,0.32374437096706454
0.002,7.8506203969325155,0.9781183331288346,1.4255767484662576,0.019993865030674848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5825634160695854,-0.2716537822741844,-0.694272044014884,0.32374437096706454
0.003,7.850509095398773,0.9781139996932517,1.4255651226993866,0.01999079754601227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5825634160695854,-0.2716537822741844,-0.694272044014884,0.32374437096706454
0.004,7.850397793865031,0.9781096662576689,1.4255534969325154,0.019987730061349695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5825634160695854,-0.2716537822741844,-0.694272044014884,0.32374437096706454
0.005,7.850286492331288,0.9781053328220861,1.4255418711656442,0.01998466257668712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5825634160695854,-0.2716537822741844,-0.694272044014884,0.32374437096706454
0.006,7.850175190797546,0.9781009993865033,1.4255302453987733,0.019981595092024542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5825634160695854,-0.2716537822741844,-0.694272044014884,0.32374437096706454
0.007,7.8500638892638035,0.9780966659509204,1.4255186196319019,0.019978527607361962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5825634160695854,-0.2716537822741844,-0.694272044014884,0.32374437096706454
0.008,7.849952587730061,0.9780923325153376,1.4255069938650307,0.019975460122699386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5825634160695854,-0.2716537822741844,-0.694272044014884,0.32374437096706454
0.009000000000000001,7.849841286196319,0.9780879990797547,1.4254953680981595,0.01997239263803681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5825634160695854,-0.2716537822741844,-0.694272044014884,0.32374437096706454
